Gene stable ID,KEGG Pathway and Enzyme ID,NCBI gene ID
Os02g0121400,,
Os02g0121500,,4328122
Os02g0121700,,4328124
Os02g0122300,,4328129
Os02g0122300,,4328129
Os02g0122500,,
Os02g0122600,,4328132
Os02g0129800,,4328185
Os02g0129900,,4328186
Os02g0134400,00760+1.4.3.16,4328220
Os02g0134400,00250+1.4.3.16,4328220
Os02g0152500,,4328327
Os02g0167700,,4328423
Os02g0168700,,
Os02g0169800,,
Os02g0175100,,
Os02g0187100,00630+3.5.1.9,
Os02g0187100,00380+3.5.1.9,
Os02g0194700,,4328603
Os02g0194700,,4328603
Os02g0203000,,4328662
Os02g0215500,,
Os02g0223700,,4328767
Os02g0226000,,4328779
Os02g0227000,,4328787
Os02g0231700,,4328808
Os02g0232400,,4328812
Os02g0232400,,4328812
Os02g0235600,,4328826
Os02g0240100,00940+1.11.1.7,4328841
Os02g0240300,00940+1.11.1.7,4328842
Os02g0245000,,4328860
Os02g0245000,,4328860
Os02g0266300,,4328960
Os02g0266300,,4328960
Os02g0266800,,4328963
Os02g0274100,00592+4.2.1.17,4328997
Os02g0274100,00360+4.2.1.17,4328997
Os02g0274100,00410+4.2.1.17,4328997
Os02g0274100,00930+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00362+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00720+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00071+5.1.2.3+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00903+4.2.1.17,4328997
Os02g0274100,00380+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00623+1.1.1.35,4328997
Os02g0274100,00640+4.2.1.17,4328997
Os02g0274100,00062+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00310+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00281+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00627+4.2.1.17,4328997
Os02g0274100,00650+5.1.2.3+4.2.1.17+1.1.1.35,4328997
Os02g0274100,00280+4.2.1.17+1.1.1.35,4328997
