gene	comparison		gene	baseMean	log2FoldChange	stat	pvalue	padj
TraesCS6D02G502200LC	comparisonCON	7131	TraesCS6D02G502200LC	23.78349	-1.963751	-3.901235	9.57E-05	0.001637392
TraesCS6D02G502200LC	comparisonSAvOA	594	TraesCS6D02G502200LC	4.257176749	1.322574887	3.33638495	0.000848756	0.042473755
TraesCS6D02G502200LC	comparisonSAvSO	1442	TraesCS6D02G502200LC	4.257176749	1.554969479	3.414411627	0.000639199	0.017350446
TraesCS6D02G502200LC	comparisonSOvOA							
TraesCS7A02G030400	comparisonCON	7146	TraesCS7A02G030400	282.5011	-0.7651932	-3.712924	0.000204879	0.003105428
TraesCS7A02G030400	comparisonSAvOA	597	TraesCS7A02G030400	130.8363	1.822127777	7.680617135	1.58E-14	9.42E-12
TraesCS7A02G030400	comparisonSAvSO	1465	TraesCS7A02G030400	119.1551393	2.596922165	10.21095303	1.77E-24	1.34E-21
TraesCS7A02G030400	comparisonSOvOA							
TraesCS7A02G415900	comparisonCON	7444	TraesCS7A02G415900	285.2329	-1.686801	-4.250007	2.14E-05	0.000448884
TraesCS7A02G415900	comparisonSAvOA	624	TraesCS7A02G415900	63.74914822	3.986441564	7.08511248	1.39E-12	5.72E-10
TraesCS7A02G415900	comparisonSAvSO	1535	TraesCS7A02G415900	63.58035788	4.382689939	6.625897041	3.45E-11	5.17E-09
TraesCS7A02G415900	comparisonSOvOA							
TraesCS7A02G422400	comparisonCON	7449	TraesCS7A02G422400	54.63156	-1.396878	-2.958667	0.003089729	0.027861
TraesCS7A02G422400	comparisonSAvOA	626	TraesCS7A02G422400	15.54865277	1.586972097	3.394891841	0.000686557	0.036008499
TraesCS7A02G422400	comparisonSAvSO	1537	TraesCS7A02G422400	13.87198031	2.767272283	5.13779894	2.78E-07	1.97E-05
TraesCS7A02G422400	comparisonSOvOA							
TraesCS7A02G429300	comparisonCON	7459	TraesCS7A02G429300	128.062	2.341255	6.655108	2.83E-11	2.07E-09
TraesCS7A02G429300	comparisonSAvOA	630	TraesCS7A02G429300	135.3138167	1.79867223	6.305690532	2.87E-10	8.30E-08
TraesCS7A02G429300	comparisonSAvSO	1540	TraesCS7A02G429300	142.8301052	1.506847755	5.127179982	2.94E-07	2.08E-05
TraesCS7A02G429300	comparisonSOvOA							
TraesCS7A02G587800LC	comparisonCON	7524	TraesCS7A02G587800LC	49.58265	-1.822778	-3.455402	0.000549473	0.007013982
TraesCS7A02G587800LC	comparisonSAvOA	651	TraesCS7A02G587800LC	9.229258914	1.711888495	4.176357094	2.96E-05	0.002737961
TraesCS7A02G587800LC	comparisonSAvSO	1550	TraesCS7A02G587800LC	9.229258914	1.995495517	4.250491452	2.13E-05	0.000963657
TraesCS7A02G587800LC	comparisonSOvOA							
TraesCS7B02G002500	comparisonCON	7541	TraesCS7B02G002500LC	5.409594	2.766149	3.649659	0.000262589	0.003806532
TraesCS7B02G002500	comparisonSAvOA	654	TraesCS7B02G002500	9.840139122	2.13226282	3.966862518	7.28E-05	0.005788299
TraesCS7B02G002500	comparisonSAvSO	1559	TraesCS7B02G002500	9.645111671	2.610395462	4.835417507	1.33E-06	8.06E-05
TraesCS7B02G002500	comparisonSOvOA							
TraesCS7B02G190700	comparisonCON	7701	TraesCS7B02G190700	258.9066	1.466273	3.860968	0.000112939	0.001882241
TraesCS7B02G190700	comparisonSAvOA	656	TraesCS7B02G190700	247.77664	1.534385787	4.46319269	8.07E-06	0.00088774
TraesCS7B02G190700	comparisonSAvSO	1572	TraesCS7B02G190700	238.9082609	1.803254	5.14545671	2.67E-07	1.89E-05
TraesCS7B02G190700	comparisonSOvOA							
TraesCSU02G039800	comparisonCON	8401	TraesCSU02G039800	176.7062	-1.008909	-4.233721	2.30E-05	0.000478291
TraesCSU02G039800	comparisonSAvOA	698	TraesCSU02G039800	73.54040824	1.681762308	5.783512556	7.32E-09	1.66E-06
TraesCSU02G039800	comparisonSAvSO	1683	TraesCSU02G039800	71.26986881	1.918544583	6.67697408	2.44E-11	3.73E-09
TraesCSU02G039800	comparisonSOvOA							
TraesCSU02G058300LC	comparisonCON	8408	TraesCSU02G058300LC	69.14265	1.971722	3.991522	6.57E-05	0.001183469
TraesCSU02G058300LC	comparisonSAvOA	703	TraesCSU02G058300LC	57.2266114	4.647365457	7.402169346	1.34E-13	6.74E-11
TraesCSU02G058300LC	comparisonSAvSO	1692	TraesCSU02G058300LC	57.2266114	4.970760995	7.484263969	7.19E-14	1.66E-11
TraesCSU02G058300LC	comparisonSOvOA							
