dpi	gene		gene2	baseMean	log2FoldChange	stat	pvalue	padj
7dpi	TraesCS3B02G574300							
7dpi	TraesCS3B02G578300LC							
7dpi	TraesCS3D02G003100	2235	TraesCS3D02G003100	104.1663938	1.791306384	4.087569428	4.36E-05	0.001941769
7dpi	TraesCS3D02G004600	2238	TraesCS3D02G004600	233.9517269	1.816914862	3.155044741	0.001604735	0.026089183
7dpi	TraesCS3D02G008600	2239	TraesCS3D02G008600	612.4713844	1.417881979	3.399148128	0.000675961	0.014088087
7dpi	TraesCS3D02G009800							
7dpi	TraesCS3D02G010700							
7dpi	TraesCS3D02G018200							
7dpi	TraesCS3D02G022100							
7dpi	TraesCS3D02G022400							
7dpi	TraesCS3D02G022600							
7dpi	TraesCS3D02G150500							
7dpi	TraesCS3D02G504400							
7dpi	TraesCS3D02G514600LC							
7dpi	TraesCS4A02G020900							
7dpi	TraesCS4A02G257400	2666	TraesCS4A02G257400	595.9353734	1.466830671	5.311911571	1.08E-07	1.72E-05
7dpi	TraesCS4A02G286600							
7dpi	TraesCS4A02G287900							
7dpi	TraesCS4A02G295100							
7dpi	TraesCS4A02G295300	2682	TraesCS4A02G295300	363.7856896	2.582320633	3.752628879	0.00017499	0.005341502
7dpi	TraesCS4A02G301600	2685	TraesCS4A02G301600	345.1975657	2.48063988	3.040431588	0.002362394	0.033776204
7dpi	TraesCS4A02G315700							
7dpi	TraesCS4A02G442500	2747	TraesCS4A02G442500	88.42945024	2.73274897	3.952344229	7.74E-05	0.002950631
7dpi	TraesCS4A02G446900LC							
7dpi	TraesCS4A02G451500LC							
7dpi	TraesCS4A02G495800							
7dpi	TraesCS4A02G584900LC							
7dpi	TraesCS4B02G050200							
7dpi	TraesCS4B02G166500LC							
7dpi	TraesCS4B02G262900	2930	TraesCS4B02G262900	81.6118991	2.664771613	3.407446503	0.000655738	0.013794406
7dpi	TraesCS4B02G278200	2937	TraesCS4B02G278200	59.9045201	1.493394869	3.347597841	0.000815152	0.016136855
7dpi	TraesCS4B02G286300							
7dpi	TraesCS4B02G319300							
7dpi	TraesCS4B02G352700LC							
7dpi	TraesCS4D02G105300							
7dpi	TraesCS4D02G208300							
