dpi	gene	isolate_cultivar	gene2	1dpi	3dpi	7dpi	11dpi	Cluster
7dpi	TraesCS6B02G125600	F22_SA	TraesCS6B02G125600	1.188528597	-1.5829524	0.153186869	0.241236934	C8:F22_SA
1dpi	TraesCS6B02G142700	F22_SA	TraesCS6B02G142700	1.362479789	-1.453251278	0.162837471	-0.072065981	C7:F22_SA
7dpi	TraesCS6B02G148000	F22_SA	TraesCS6B02G148000	-1.713385789	0.332267912	0.681506867	0.699611009	C0:F22_SA
7dpi	TraesCS6B02G189300	F22_SA	TraesCS6B02G189300	-1.44907897	1.148772658	0.667550285	-0.367243973	C1:F22_SA
7dpi	TraesCS6B02G197100	F22_SA	TraesCS6B02G197100	-1.593556376	1.100822536	0.498730252	-0.005996412	C0:F22_SA
7dpi	TraesCS6B02G314100LC	F22_SA	TraesCS6B02G314100LC	-0.44269627	1.020356298	0.850478436	-1.428138463	C2:F22_SA
7dpi	TraesCS6B02G342400	F22_SA	TraesCS6B02G342400	-1.706306938	0.772803873	0.633450093	0.300052973	C0:F22_SA
1dpi	TraesCS6B02G389200	F22_SA	TraesCS6B02G389200	1.708904568	-0.483558773	-0.394636282	-0.830709513	C6:F22_SA
7dpi	TraesCS6B02G389200	F22_SA	TraesCS6B02G389200	1.708904568	-0.483558773	-0.394636282	-0.830709513	C6:F22_SA
1dpi	TraesCS6B02G404500	F22_SA	TraesCS6B02G404500	0.68775552	-0.357485573	-1.458320438	1.128050491	C15:F22_SA
7dpi	TraesCS6B02G404500	F22_SA	TraesCS6B02G404500	0.68775552	-0.357485573	-1.458320438	1.128050491	C15:F22_SA
1dpi	TraesCS6B02G494600LC	F22_SA	TraesCS6B02G494600LC	1.443405399	0.378080035	-0.671230975	-1.150254459	C4:F22_SA
1dpi	TraesCS6B02G734300LC	F22_SA	TraesCS6B02G734300LC	-1.670850604	0.183232348	0.928444077	0.559174178	C0:F22_SA
1dpi	TraesCS6B02G789000LC	F22_SA	TraesCS6B02G789000LC	1.651556671	-0.26026412	-1.039721608	-0.351570943	C6:F22_SA
7dpi	TraesCS6B02G792300LC	F22_SA	TraesCS6B02G792300LC	-1.357838407	1.227965242	0.630596686	-0.500723522	C1:F22_SA
7dpi	TraesCS6D02G051300	F22_SA	TraesCS6D02G051300	-1.4776335	0.976035304	0.858316156	-0.35671796	C1:F22_SA
7dpi	TraesCS6D02G053000	F22_SA	TraesCS6D02G053000	-1.472862695	1.203374059	0.550829822	-0.281341186	C1:F22_SA
7dpi	TraesCS6D02G060200	F22_SA	TraesCS6D02G060200	-0.614705801	0.372191872	1.435449394	-1.192935466	C13:F22_SA
7dpi	TraesCS6D02G350000	F22_SA	TraesCS6D02G350000	-1.680439203	0.244192295	0.924389808	0.5118571	C0:F22_SA
3dpi	TraesCS6D02G502200LC	F22_SA	TraesCS6D02G502200LC	-1.524254388	1.256303976	0.310681416	-0.042731005	C0:F22_SA
7dpi	TraesCS6D02G502200LC	F22_SA	TraesCS6D02G502200LC	-1.524254388	1.256303976	0.310681416	-0.042731005	C0:F22_SA
7dpi	TraesCS7A02G005000	F22_SA	TraesCS7A02G005000	-0.346840034	0.964198797	0.865939014	-1.483297777	C2:F22_SA
7dpi	TraesCS7A02G006500	F22_SA	TraesCS7A02G006500	-1.367490382	1.299619227	0.502260611	-0.434389456	C1:F22_SA
3dpi	TraesCS7A02G030400	F22_SA	TraesCS7A02G030400	1.723934313	-0.523135351	-0.729668223	-0.471130739	C6:F22_SA
7dpi	TraesCS7A02G030400	F22_SA	TraesCS7A02G030400	1.723934313	-0.523135351	-0.729668223	-0.471130739	C6:F22_SA
1dpi	TraesCS7A02G066700LC	F22_SA	TraesCS7A02G066700LC	-0.489849471	0.391287863	1.391309885	-1.292748277	C13:F22_SA
7dpi	TraesCS7A02G066700LC	F22_SA	TraesCS7A02G066700LC	-0.489849471	0.391287863	1.391309885	-1.292748277	C13:F22_SA
7dpi	TraesCS7A02G108600	F22_SA	TraesCS7A02G108600	-1.699315313	0.737512602	0.710977867	0.250824844	C0:F22_SA
7dpi	TraesCS7A02G109300	F22_SA	TraesCS7A02G109300	-1.677173225	0.618030924	0.879025398	0.180116903	C0:F22_SA
7dpi	TraesCS7A02G206400	F22_SA	TraesCS7A02G206400	0.863126526	0.563876386	0.266010505	-1.693013418	C3:F22_SA
1dpi	TraesCS7A02G415900	F22_SA	TraesCS7A02G415900	-1.42161819	0.825492776	1.046354309	-0.450228896	C1:F22_SA
3dpi	TraesCS7A02G415900	F22_SA	TraesCS7A02G415900	-1.42161819	0.825492776	1.046354309	-0.450228896	C1:F22_SA
7dpi	TraesCS7A02G415900	F22_SA	TraesCS7A02G415900	-1.42161819	0.825492776	1.046354309	-0.450228896	C1:F22_SA
3dpi	TraesCS7A02G422400	F22_SA	TraesCS7A02G422400	-1.472339929	1.04627246	0.781699862	-0.355632393	C1:F22_SA
7dpi	TraesCS7A02G422400	F22_SA	TraesCS7A02G422400	-1.472339929	1.04627246	0.781699862	-0.355632393	C1:F22_SA
3dpi	TraesCS7A02G429300	F22_SA	TraesCS7A02G429300	-1.463504611	1.001358487	0.842892446	-0.380746321	C1:F22_SA
7dpi	TraesCS7A02G429300	F22_SA	TraesCS7A02G429300	-1.463504611	1.001358487	0.842892446	-0.380746321	C1:F22_SA
7dpi	TraesCS7A02G523000	F22_SA	TraesCS7A02G523000	-1.583206055	0.881400174	0.835839314	-0.134033434	C0:F22_SA
7dpi	TraesCS7B02G001600	F22_SA	TraesCS7B02G001600	0.630860015	0.863631506	0.185332336	-1.679823857	C3:F22_SA
3dpi	TraesCS7B02G002500	F22_SA	TraesCS7B02G002500	-1.675412434	0.969546899	0.396801387	0.309064147	C0:F22_SA
3dpi	TraesCS7B02G190700	F22_SA	TraesCS7B02G190700	-1.685320202	0.564077317	0.886903371	0.234339513	C0:F22_SA
7dpi	TraesCS7B02G190700	F22_SA	TraesCS7B02G190700	-1.685320202	0.564077317	0.886903371	0.234339513	C0:F22_SA
7dpi	TraesCS7B02G416600	F22_SA	TraesCS7B02G416600	-1.438943453	0.686867697	1.142472981	-0.390397225	C1:F22_SA
7dpi	TraesCS7B02G479700	F22_SA	TraesCS7B02G479700	-1.443651271	-0.421035265	0.938358996	0.926327539	C11:F22_SA
1dpi	TraesCS7D02G041100	F22_SA	TraesCS7D02G041100	1.698673239	-0.405781286	-0.885261776	-0.407630177	C6:F22_SA
7dpi	TraesCS7D02G130800	F22_SA	TraesCS7D02G130800	-1.647580071	1.028073801	0.445123297	0.174382974	C0:F22_SA
7dpi	TraesCS7D02G155400	F22_SA	TraesCS7D02G155400	-1.638474181	0.781254396	0.839481556	0.017738228	C0:F22_SA
7dpi	TraesCS7D02G218300	F22_SA	TraesCS7D02G218300	-1.660688756	0.739767735	0.828433873	0.092487148	C0:F22_SA
7dpi	TraesCS7D02G237700	F22_SA	TraesCS7D02G237700	-1.710192172	0.564698778	0.796666848	0.348826545	C0:F22_SA
7dpi	TraesCS7D02G548400	F22_SA	TraesCS7D02G548400	0.516703483	1.137955569	-0.096191254	-1.558467798	C3:F22_SA
1dpi	TraesCSU02G040100	F22_SA	TraesCSU02G040100	-1.223854801	-0.444891673	0.159134972	1.509611502	C10:F22_SA
3dpi	TraesCSU02G058300LC	F22_SA	TraesCSU02G058300LC	-1.709996486	0.419878209	0.828650698	0.461467578	C0:F22_SA
7dpi	TraesCSU02G058300LC	F22_SA	TraesCSU02G058300LC	-1.709996486	0.419878209	0.828650698	0.461467578	C0:F22_SA
7dpi	TraesCSU02G070700LC	F22_SA	TraesCSU02G070700LC	-1.429039644	1.243170662	0.537399766	-0.351530785	C1:F22_SA
1dpi	TraesCSU02G133810LC	F22_SA	TraesCSU02G133810LC	-1.703147093	0.383678796	0.861702302	0.457765995	C0:F22_SA
7dpi	TraesCSU02G207500	F22_SA	TraesCSU02G207500	-0.999896038	-0.999896038	1.02028786	0.979504216	C12:F22_SA
1dpi	TraesCS2A02G465300	F22_SA						
1dpi	TraesCS2A02G514300LC	F22_SA						
1dpi	TraesCS5B02G535100	F22_SA						
3dpi	TraesCS1B02G097600LC	F22_SA						
3dpi	TraesCS2A02G514300LC	F22_SA						
3dpi	TraesCS5B02G535100	F22_SA						
3dpi	TraesCS6A02G418400	F22_SA						
3dpi	TraesCS6B02G700800LC	F22_SA						
7dpi	TraesCS1A02G300200	F22_SA						
7dpi	TraesCS1A02G406500	F22_SA						
7dpi	TraesCS1B02G097600LC	F22_SA						
7dpi	TraesCS1D02G127600LC	F22_SA						
7dpi	TraesCS2A02G514300LC	F22_SA						
7dpi	TraesCS2B02G623400	F22_SA						
7dpi	TraesCS2D02G035000	F22_SA						
7dpi	TraesCS3A02G303900	F22_SA						
7dpi	TraesCS3D02G003100	F22_SA						
7dpi	TraesCS4A02G286600	F22_SA						
7dpi	TraesCS4B02G278200	F22_SA						
7dpi	TraesCS5A02G362400	F22_SA						
7dpi	TraesCS5B02G507300	F22_SA						
7dpi	TraesCS5B02G535100	F22_SA						
7dpi	TraesCS6A02G418400	F22_SA						
7dpi	TraesCS6B02G494100LC	F22_SA						
7dpi	TraesCS6B02G524300LC	F22_SA						
7dpi	TraesCS6D02G072100	F22_SA						
7dpi	TraesCS7A02G094800	F22_SA						
7dpi	TraesCS7B02G002300	F22_SA						
7dpi	TraesCS7B02G047500	F22_SA						
7dpi	TraesCS7D02G419300	F22_SA						
