gene	comparison		gene	baseMean	log2FoldChange	stat	pvalue	padj						
TraesCS2D02G449400	comparisonSOvOA	693	TraesCS2D02G449400	163.4667034	-0.933364503	-5.055570285	4.29E-07	2.12E-05						
TraesCS2D02G493600	comparisonCON	3856	TraesCS2D02G493600	254.1333	1.423561	4.567844	4.93E-06	8.61E-05						
TraesCS2D02G493600	comparisonSAvOA	1348	TraesCS2D02G493600	266.8238846	-1.122175263	-2.771589592	0.005578332	0.040940526						
TraesCS2D02G493600	comparisonSAvSO													
TraesCS2D02G493600	comparisonSOvOA	697	TraesCS2D02G493600	199.8374326	-0.546666507	3.219508942	0.001284104	0.022690221						
TraesCS2D02G525900	comparisonCON	3886	TraesCS2D02G525900	632.2967	1.25766	3.455788	0.000548686	0.004968928						
TraesCS2D02G525900	comparisonSAvOA	1356	TraesCS2D02G525900	621.4523551	-1.369204531	-6.550070627	5.75E-11	6.32E-09						
TraesCS2D02G525900	comparisonSAvSO													
TraesCS2D02G525900	comparisonSOvOA	700	TraesCS2D02G525900	134.3315625	-1.29517589	-3.757358454	0.000171716	0.004128767						
TraesCS2D02G568200	comparisonCON	3929	TraesCS2D02G568200	10.1294	4.787826	5.027281	4.97E-07	1.14E-05						
TraesCS2D02G568200	comparisonSAvOA	1369	TraesCS2D02G568200	10.12939819	-3.685684355	-4.684524519	2.81E-06	7.72E-05						
TraesCS2D02G568200	comparisonSAvSO													
TraesCS2D02G568200	comparisonSOvOA	712	TraesCS2D02G568200	54.0348217	-2.85371335	-6.042815515	1.51E-09	1.20E-07						
TraesCS2D02G571100	comparisonCON	3933	TraesCS2D02G571100	22.06236	1.663738	2.755332	0.005863263	0.03497414						
TraesCS2D02G571100	comparisonSAvOA	1374	TraesCS2D02G571100	18.93306513	-2.925207633	-5.115396821	3.13E-07	1.17E-05						
TraesCS2D02G571100	comparisonSAvSO													
TraesCS2D02G571100	comparisonSOvOA	719	TraesCS2D02G571100	22.16003737	-2.417928675	-5.260308828	1.44E-07	7.84E-06						
TraesCS2D02G571900	comparisonCON	3935	TraesCS2D02G571900	66.75692	1.13141	3.737936	0.000185537	0.002001575						
TraesCS2D02G571900	comparisonSAvOA	1377	TraesCS2D02G571900	52.93390261	-2.610789927	-7.330968882	2.28E-13	4.37E-11						
TraesCS2D02G571900	comparisonSAvSO													
TraesCS2D02G571900	comparisonSOvOA	723	TraesCS2D02G571900	48.10180544	-1.642562304	-4.64733236	3.36E-06	0.000134835						
TraesCS2D02G572300	comparisonCON	3936	TraesCS2D02G572300	359.8513	-1.935428	-4.908654	9.17E-07	1.96E-05						
TraesCS2D02G572300	comparisonSAvOA	1378	TraesCS2D02G572300	72.0202851	-5.499854687	-8.18550616	2.71E-16	9.21E-14						
TraesCS2D02G572300	comparisonSAvSO	/Users/rbadgami/Desktop/data2/read_count_data/DESeq2_isolate/LFC/table_LFCisanumber/LFC_F22_7dpi_SAvSO_SUS_SOupreg.txt:513	TraesCS2D02G572300	92.54196041	-2.874264355	-9.460427426	3.07E-21	1.72E-18						
TraesCS2D02G572300	comparisonSOvOA	725	TraesCS2D02G572300	513.3783312	-2.311928756	-12.55025067	3.96E-36	3.16E-33						
TraesCS2D02G572600	comparisonCON	3937	TraesCS2D02G572600	4.930015	3.867958	4.002901	6.26E-05	0.000781981						
TraesCS2D02G572600	comparisonSAvOA	1379	TraesCS2D02G572600	4.930014567	-2.853667755	-3.685858888	0.000227933	0.003183331						
TraesCS2D02G572600	comparisonSAvSO													
TraesCS2D02G572600	comparisonSOvOA	726	TraesCS2D02G572600	15.85649162	-2.20295902	-5.497650664	3.85E-08	2.38E-06						
TraesCS2D02G572700	comparisonCON	3938	TraesCS2D02G572700	168.758	0.7980248	3.135587	0.001715106	0.01295927						
TraesCS2D02G572700	comparisonSAvOA	1380	TraesCS2D02G572700	137.977766	-1.764637753	-6.901941293	5.13E-12	7.42E-10						
TraesCS2D02G572700	comparisonSAvSO													
TraesCS2D02G572700	comparisonSOvOA	727	TraesCS2D02G572700	140.2494561	-1.04637751	-3.920344818	8.84E-05	0.002330875						
TraesCS2D02G573300	comparisonCON	3940	TraesCS2D02G573300	371.3066	-0.9612032	-3.75249	0.000175087	0.001902384						
TraesCS2D02G573300	comparisonSAvOA	1381	TraesCS2D02G573300	128.7035771	-4.738491097	-11.92976541	8.28E-33	2.35E-29						
TraesCS2D02G573300	comparisonSAvSO													
TraesCS2D02G573300	comparisonSOvOA	728	TraesCS2D02G573300	166.475212	-4.606786019	-15.18113686	4.72E-52	6.62E-49						
TraesCS3A02G035300	comparisonCON	4019	TraesCS3A02G035300	104.3348	1.247512	3.768725	0.000164084	0.001797603						
TraesCS3A02G035300	comparisonSAvOA	1425	TraesCS3A02G035300	93.3810609	-1.858305736	-5.893308147	3.79E-09	2.54E-07						
TraesCS3A02G035300	comparisonSAvSO													
TraesCS3A02G035300	comparisonSOvOA	747	TraesCS3A02G035300	54.49179081	-1.577720811	-3.429307159	0.000605124	0.012081284						
TraesCS3A02G040800	comparisonCON	4026	TraesCS3A02G040800	161.2312	1.407957	3.471007	0.00051851	0.004740799						
TraesCS3A02G040800	comparisonSAvOA	1426	TraesCS3A02G040800	154.9698354	-1.608948079	-4.410213616	1.03E-05	0.000236428						
TraesCS3A02G040800	comparisonSAvSO													
TraesCS3A02G040800	comparisonSOvOA	751	TraesCS3A02G040800	77.11453873	-0.615272783	-4.968201427	6.76E-07	3.20E-05						
TraesCS3A02G056000	comparisonCON	4043	TraesCS3A02G056000	320.7364	-0.8977126	-3.392259	0.000693188	0.006034767						
TraesCS3A02G056000	comparisonSAvOA	1433	TraesCS3A02G056000	140.3773795	-1.882398787	-7.04803457	1.81E-12	2.80E-10						
TraesCS3A02G056000	comparisonSAvSO													
TraesCS3A02G056000	comparisonSOvOA	758	TraesCS3A02G056000	137.9823069	-2.499794852	-7.942103269	1.99E-15	3.62E-13						
TraesCS3A02G086400LC	comparisonCON	4075	TraesCS3A02G086400LC	63.09277	-0.9787108	-2.626295	0.008632005	0.04730849						
TraesCS3A02G086400LC	comparisonSAvOA	1446	TraesCS3A02G086400LC	20.75916323	-4.790906523	-5.966969088	2.42E-09	1.71E-07						
TraesCS3A02G086400LC	comparisonSAvSO													
TraesCS3A02G086400LC	comparisonSOvOA	765	TraesCS3A02G086400LC	17.20612094	-4.018946805	-5.758882704	8.47E-09	5.88E-07						
TraesCS3A02G124700	comparisonCON	4127	TraesCS3A02G124700	186.8165	0.9550865	2.978852	0.002893302	0.01983359						
TraesCS3A02G124700	comparisonSAvOA	1454	TraesCS3A02G124700	176.8507342	-1.169659548	-3.409923028	0.000649812	0.007487437						
TraesCS3A02G124700	comparisonSAvSO													
TraesCS3A02G124700	comparisonSOvOA	778	TraesCS3A02G124700	252.4029742	-0.587861758	-3.545711328	0.000391555	0.008361446						
TraesCS3A02G142700	comparisonCON	4157	TraesCS3A02G142700	544.2131	1.119205	3.608424	0.000308063	0.003089591						
TraesCS3A02G142700	comparisonSAvOA	1459	TraesCS3A02G142700	531.1792072	-1.24090752	-5.573850636	2.49E-08	1.33E-06						
TraesCS3A02G142700	comparisonSAvSO													
TraesCS3A02G142700	comparisonSOvOA	781	TraesCS3A02G142700	393.246924	-0.718997574	-5.387469411	7.15E-08	4.14E-06						
TraesCS3A02G283600	comparisonCON	4349	TraesCS3A02G283600	511.8209	2.361178	4.999427	5.75E-07	1.30E-05						
TraesCS3A02G283600	comparisonSAvOA	1516	TraesCS3A02G283600	639.0859591	-1.078686483	-5.010514717	5.43E-07	1.89E-05						
TraesCS3A02G283600	comparisonSAvSO													
TraesCS3A02G283600	comparisonSOvOA	805	TraesCS3A02G283600	128.421661	-0.314678284	-3.900885989	9.58E-05	0.002495199						
TraesCS3A02G305400	comparisonCON	4374	TraesCS3A02G305400	273.0712	1.190383	4.126771	3.68E-05	0.000495879						
TraesCS3A02G305400	comparisonSAvOA	1526	TraesCS3A02G305400	293.1848915	-0.878417364	-3.385492732	0.000710506	0.008059918						
TraesCS3A02G305400	comparisonSAvSO													
